,Cen06,Cen17,Cen07,Cen04,Cen15,Cen05,Cen16,Cen13,Cen03
OTU_0001,0,0,0,0,0,0,0,0.0035650623885918,0
OTU_0002,0,0,0,0,0,0,0.00185577942735949,0,0
OTU_0003,0,0.00343053173241852,0,0,0,0,0,0,0
OTU_0004,0,0,0,0,0,0,0,0.00846702317290553,0
OTU_0005,0,0,0,0,0,0,0.0031813361611877,0,0
OTU_0006,0,0.00171526586620926,0,0,0,0,0,0,0
OTU_0007,0,0.00343053173241852,0,0,0,0,0,0,0
OTU_0008,0.00435161009573542,0,0.00693069306930693,0.00465657741559953,0,0.00490677134445535,0,0,0.00335289186923722
OTU_0009,0.000870322019147084,0,0,0,0,0,0.0031813361611877,0,0
OTU_0010,0,0,0,0,0,0,0,0.0017825311942959,0
OTU_0011,0,0.00171526586620926,0,0,0,0,0,0,0
OTU_0012,0,0,0,0.00931315483119907,0,0,0,0,0
OTU_0013,0,0,0,0,0,0,0.00265111346765642,0,0
OTU_0014,0,0,0,0,0.00063653723742839,0,0,0,0
OTU_0015,0,0,0.00594059405940594,0,0,0,0,0,0
OTU_0016,0,0.00514579759862779,0,0,0,0,0,0,0
OTU_0017,0,0.0102915951972556,0,0,0,0,0,0,0
OTU_0018,0,0,0,0,0,0,0,0.00133689839572193,0
OTU_0019,0,0,0,0,0,0,0,0.0017825311942959,0
OTU_0020,0,0,0,0,0,0,0.00106044538706257,0,0
OTU_0021,0.00261096605744125,0,0,0,0,0,0,0,0
OTU_0022,0,0,0,0,0,0,0.000530222693531283,0,0
OTU_0023,0,0,0,0,0,0,0,0.00668449197860963,0
OTU_0024,0,0.00171526586620926,0,0,0,0,0,0,0
OTU_0025,0,0,0,0,0,0,0.00185577942735949,0,0
OTU_0026,0.00174064403829417,0,0,0,0,0,0,0,0
OTU_0027,0,0,0,0,0,0,0.000265111346765642,0,0
OTU_0028,0,0,0,0,0,0,0.000530222693531283,0,0
OTU_0029,0,0,0,0,0,0,0,0,0.00251466890192791
OTU_0030,0,0,0,0,0,0,0,0.00089126559714795,0
OTU_0031,0,0,0,0,0,0.00196270853778214,0,0,0
OTU_0032,0,0,0.00198019801980198,0,0,0,0,0,0
OTU_0033,0,0,0,0,0,0,0,0,0.00167644593461861
OTU_0034,0,0,0,0,0,0.00686947988223749,0,0,0
OTU_0035,0,0,0,0,0,0,0,0,0.00419111483654652
OTU_0036,0,0,0,0,0,0,0,0,0.00502933780385583
OTU_0037,0,0,0,0,0,0,0.00106044538706257,0,0
OTU_0038,0,0,0,0,0,0.00196270853778214,0,0,0
OTU_0039,0,0,0,0,0,0,0,0.00490196078431373,0
OTU_0040,0,0.00686106346483705,0,0,0,0,0,0,0
OTU_0041,0,0.00171526586620926,0,0,0,0,0,0,0
OTU_0042,0,0,0,0,0,0,0,0.00802139037433155,0
